hs_code_national,landgruppe,landgruppenavn,avgiftstype,avgiftstypebeskrivelse,avgiftsgruppe,avgiftsgruppebeskrivelse,duty_value,rate_type,valid_from,valid_to,enhet,enhet_beskrivelse,oresats_flag
02031901,ALLE,Avgift fra alle land,FA,Forskningsavgift,100,Forskningsavgift høy sats,0.35,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031901,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031901,ALLE,Avgift fra alle land,MV,Merverdiavgift,2,Merverdiavgift lav sats,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
02031902,ALLE,Avgift fra alle land,FA,Forskningsavgift,200,"Forskningsavgift, lav sats",0.25,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031902,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031902,ALLE,Avgift fra alle land,MV,Merverdiavgift,2,Merverdiavgift lav sats,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
02031903,ALLE,Avgift fra alle land,FA,Forskningsavgift,200,"Forskningsavgift, lav sats",0.25,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031903,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031903,ALLE,Avgift fra alle land,MV,Merverdiavgift,2,Merverdiavgift lav sats,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
02031904,ALLE,Avgift fra alle land,FA,Forskningsavgift,200,"Forskningsavgift, lav sats",0.25,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031904,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031904,ALLE,Avgift fra alle land,MV,Merverdiavgift,2,Merverdiavgift lav sats,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
02031905,ALLE,Avgift fra alle land,FA,Forskningsavgift,200,"Forskningsavgift, lav sats",0.25,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031905,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031905,ALLE,Avgift fra alle land,MV,Merverdiavgift,2,Merverdiavgift lav sats,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
02031907,ALLE,Avgift fra alle land,FA,Forskningsavgift,200,"Forskningsavgift, lav sats",0.25,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031907,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031907,ALLE,Avgift fra alle land,MV,Merverdiavgift,2,Merverdiavgift lav sats,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
02031908,ALLE,Avgift fra alle land,FA,Forskningsavgift,200,"Forskningsavgift, lav sats",0.25,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031908,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031908,ALLE,Avgift fra alle land,MV,Merverdiavgift,2,Merverdiavgift lav sats,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
02031909,ALLE,Avgift fra alle land,FA,Forskningsavgift,200,"Forskningsavgift, lav sats",0.25,P,2010-01-01,"",P,Prosent av verdien,FALSE
